text,label
買ってよかった,1
満足です,1
期待通り,1
期待以上,1
想像より良い,1
値段以上,1
コスパが良い,1
コスパいい,1
品質が良い,1
作りがしっかりしている,1
問題なく使える,1
普通に使える,1
使いやすい,1
操作が分かりやすい,1
便利です,1
助かる,1
また買いたい,1
また利用したい,1
リピートします,1
リピ買いしたい,1
おすすめできる,1
友達にすすめたい,1
安心して使える,1
発送が早い,1
梱包が丁寧,1
対応が丁寧,1
説明が分かりやすい,1
デザインが良い,1
見た目が好き,1
静かで良い,1
軽くて良い,1
サイズがちょうどいい,1
使っていて快適,1
買って正解,1
気に入った,1
満足した,1
かなり良い,1
とても良かった,1
良かった,1
すごく良い,1
凄く良い,1
すごくいい,1
おすすめ,1
また買う,1
悪くはない,1
特に問題ない,1
十分だと思う,1
概ね満足,1
まあ満足,1
普通に良い,1
想定内で良い,1
値段相応だが良い,1
機能は十分,1
不満は少ない,1
改善点はあるが満足,1
もう少しで満点,1
最悪ではない,1
微妙だけど使える,1
可もなく不可もないが使える,1
ちょっと良い,1
思ったより良い,1
使えるので問題ない,1
悪くない,1
残念,0
がっかり,0
期待外れ,0
思ったより悪い,0
いまいち,0
微妙だった,0
あまり良くない,0
おすすめしない,0
おすすめできない,0
もう買わない,0
二度と買わない,0
買って後悔,0
お金の無駄,0
損した気分,0
値段の割に悪い,0
コスパが悪い,0
品質が悪い,0
作りが雑,0
すぐ壊れた,0
壊れた,0
初期不良だった,0
不良品だった,0
動かない,0
使えない,0
操作が分かりにくい,0
説明が分かりにくい,0
説明が足りない,0
不便です,0
使いにくい,0
サイズが合わない,0
思ったのと違う,0
写真と違う,0
においが気になる,0
音がうるさい,0
重すぎる,0
発送が遅い,0
梱包が雑,0
対応が遅い,0
対応がひどい,0
連絡が来ない,0
返品したい,0
交換したい,0
クレームを入れたい,0
期待しすぎた,0
満足できない,0
不満が残る,0
改善してほしい,0
微妙,0
可もなく不可もない,0
普通,0
まあまあ,0
悪くはないが微妙,0
使えるが満足ではない,0
最悪,0
最低,0
ひどい,0
ひどすぎる,0
腹が立つ,0


